"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"280","Telemark","drangedal4","4DRB","B",5,3.81780487,0.303811258410405
"281","Telemark","notodden5","5NOB","B",5,1.34587229,0.107101113861954
"282","Telemark","notodden6","6NOB","B",5,0.31312724,0.0249178740313611
"283","Trøndelag","bratsberg","BRB","B",5,1.50765067,0.119975028293154
"284","Hedmark","didrik_holmsen","DHB","B",5,2.92714210666667,0.232934567704212
"285","Hedmark","fet_3","FKB","B",5,0.590567,0.0469958286384757
"286","Trøndelag","selbu_flub","FLB","B",5,2.03510146,0.161948228526267
"287","Trøndelag","hi_tydal","HIB","B",5,4.51758856,0.359498275089699
"288","Hedmark","halvard_pramhus","HPB","B",5,0.3583075,0.0285132048859496
"289","Trøndelag","selbu_kl","KLB","B",5,2.56062810666667,0.203768310298021
"290","Trøndelag","singsaas","LAB","B",5,0.2228441,0.0177333700269323
"291","Trøndelag","malvik","MAB","B",5,0.51760379,0.0411896008707997
"292","Hedmark","stig_dahlen","SDB","B",5,1.79696316,0.142997784734016
"293","Trøndelag","sl_tydal","SEB","B",5,0.50868389,0.040479777782357
"294","Trøndelag","selbu_sl","SLB","B",5,0.37315502,0.0296947329862775
"295","Hedmark","stangeskovene_aurskog","SSAB","B",5,0.880563333333333,0.0700730036027382
"296","Hedmark","stangeskovene_eidskog","SSBB","B",5,0.67482,0.0537004693486364
"297","Hedmark","eidskog","STSKNB","B",5,0.4444375,0.0353672125102021
"298","Hedmark","truls_holm","THB","B",5,0.83885691,0.0667541118866466
"299","Trøndelag","steinkjer_1bbb","1BBUB","UB",5,1.397623575,0.111219350271508
"300","Telemark","nome_cappelen1","1CAUB","UB",5,0.11931095,0.00949446372874499
"301","Telemark","drangedal1","1DRUB","UB",5,1.225072825,0.0974881978731512
"302","Telemark","fritsoe1","1FRUB","UB",5,4.818337125,0.383431085463471
"303","Telemark","furesdal","1FYUB","UB",5,0.361133366666667,0.028738080210209
"304","Trøndelag","namdalseid_1kub","1KUB","UB",5,2.5915696,0.206230556103343
"305","Telemark","kviteseid1","1KVUB","UB",5,0.5826445,0.0463653761201529
"306","Trøndelag","nsb_verdal","1NSUB","UB",5,0.613700866666667,0.0488367632548901
"307","Trøndelag","sub_namdalseid","1SUB","UB",5,1.446856125,0.115137152118268
"308","Trøndelag","verdal_1vb","1VBUB","UB",5,0.524430033333333,0.0417328160554237
"309","Trøndelag","steinkjer_2bbb","2BBUB","UB",5,0.797602925,0.0634712240691521
"310","Telemark","nome_cappelen2","2CAUB","UB",5,2.713792825,0.215956771313034
"311","Telemark","fritsoe2","2FRUB","UB",5,2.255514175,0.179488115082544
"312","Telemark","kviteseid2","2KVUB","UB",5,0.45508155,0.0362142390962108
"313","Trøndelag","verdal_2vb","2VBUB","UB",5,4.5179662,0.359528326726053
"314","Telemark","drangedal3","3DRUB","UB",5,0.582695125,0.0463694047296499
"315","Telemark","kviteseid3","3KVUB","UB",5,1.917896025,0.152621316357524
"316","Telemark","notodden3","3NOUB","UB",5,0.78962885,0.0628366673427344
"317","Telemark","drangedal4","4DRUB","UB",5,5.5687768,0.443149177347734
"318","Telemark","notodden5","5NOUB","UB",5,0.9393399,0.0747502941642233
"319","Telemark","notodden6","6NOUB","UB",5,0.888409133333333,0.0706973525289934
"320","Trøndelag","bratsberg","BRUB","UB",5,5.759236425,0.458305472736823
"321","Hedmark","didrik_holmsen","DHUB","UB",5,0.671468533333333,0.0534337681053326
"322","Hedmark","fet_3","FKUB","UB",5,1.895588825,0.150846165784254
"323","Trøndelag","selbu_flub","FLUB","UB",5,3.33782725,0.265615853012164
"324","Trøndelag","hi_tydal","HIUB","UB",5,3.35949705,0.26734028090507
"325","Hedmark","halvard_pramhus","HPUB","UB",5,1.4529433,0.115621554113625
"326","Trøndelag","selbu_kl","KLUB","UB",5,0.369195433333333,0.0293796390909772
"327","Trøndelag","singsaas","LAUB","UB",5,0.2509461,0.0199696561323165
